The Return of the King (The Lord of the Rings, #3)	J.R.R. Tolkien	https://www.goodreads.com/book/show/18512.The_Return_of_the_King
The Two Towers (The Lord of the Rings, #2)	J.R.R. Tolkien	https://www.goodreads.com/book/show/15241.The_Two_Towers
The Invisible Man	H.G. Wells	https://www.goodreads.com/book/show/17184.The_Invisible_Man
A Fire Upon the Deep (Zones of Thought, #1)	Vernor Vinge	https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep
Xenocide (Ender&#39;s Saga, #3)	Orson Scott Card	https://www.goodreads.com/book/show/8648.Xenocide
Foundation and Empire (Foundation #2)	Isaac Asimov	https://www.goodreads.com/book/show/29581.Foundation_and_Empire
A Scanner Darkly	Philip K. Dick	https://www.goodreads.com/book/show/14817.A_Scanner_Darkly
Flatland: A Romance of Many Dimensions	Edwin A. Abbott	https://www.goodreads.com/book/show/433567.Flatland
The Lathe of Heaven	Ursula K. Le Guin	https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
Anathem	Neal Stephenson	https://www.goodreads.com/book/show/2845024-anathem
To Say Nothing of the Dog (Oxford Time Travel, #2)	Connie Willis	https://www.goodreads.com/book/show/77773.To_Say_Nothing_of_the_Dog
The Player of Games (Culture, #2)	Iain M. Banks	https://www.goodreads.com/book/show/18630.The_Player_of_Games
Gateway (Heechee Saga, #1)	Frederik Pohl	https://www.goodreads.com/book/show/218427.Gateway
The Martian	Andy Weir	https://www.goodreads.com/book/show/18007564-the-martian
Altered Carbon (Takeshi Kovacs, #1)	Richard K. Morgan	https://www.goodreads.com/book/show/40792913-altered-carbon
Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength	C.S. Lewis	https://www.goodreads.com/book/show/30628.Space_Trilogy
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	Terry Pratchett	https://www.goodreads.com/book/show/12067.Good_Omens
Barrayar (Vorkosigan Saga, #7)	Lois McMaster Bujold	https://www.goodreads.com/book/show/61905.Barrayar
The Shadow of the Torturer (The Book of the New Sun, #1)	Gene Wolfe	https://www.goodreads.com/book/show/60211.The_Shadow_of_the_Torturer
Kindred	Octavia E. Butler	https://www.goodreads.com/book/show/60931.Kindred
Sphere	Michael Crichton	https://www.goodreads.com/book/show/455373.Sphere
To Your Scattered Bodies Go (Riverworld, #1)	Philip JosÃ© Farmer	https://www.goodreads.com/book/show/189147.To_Your_Scattered_Bodies_Go
Lord of Light	Roger Zelazny	https://www.goodreads.com/book/show/13821.Lord_of_Light
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
Blindness	José Saramago	https://www.goodreads.com/book/show/2526.Blindness
Startide Rising (The Uplift Saga, #2)	David Brin	https://www.goodreads.com/book/show/234501.Startide_Rising
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	J.K. Rowling	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
Lucifer&#39;s Hammer	Larry Niven	https://www.goodreads.com/book/show/218467.Lucifer_s_Hammer
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Princess Bride	William Goldman	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Neverwhere (London Below, #1)	Neil Gaiman	https://www.goodreads.com/book/show/14497.Neverwhere
Mockingjay (The Hunger Games, #3)	Suzanne Collins	https://www.goodreads.com/book/show/7260188-mockingjay
Alas, Babylon	Pat Frank	https://www.goodreads.com/book/show/38169.Alas_Babylon
Lilith&#39;s Brood (Xenogenesis, #1-3)	Octavia E. Butler	https://www.goodreads.com/book/show/60926.Lilith_s_Brood
